app,sleep_time,request_size,response_size
1,0.187,1024,64
1,0.187,1024,64
1,0.187,1024,64
1,5.905,2048,64
3,5.399,2048,2048
2,5.153,24576,64
2,40.34,24576,64
1,0.203,1024,64
1,0.218,1024,64
3,7.537,2048,2048
1,0.33,1024,64
1,0.511,1024,64
1,0.012,1024,64
1,0.013,1024,64
1,0.015,1024,64
1,0.011,1024,64
1,0.015,1024,64
1,0.011,1024,64
1,0.012,1024,64
1,0.015,1024,64
1,0.018,1024,64
1,0.013,1024,64
1,0.012,1024,64
1,0.014,1024,64
1,0.011,1024,64
1,0.012,1024,64
1,0.012,1024,64
3,13.046,4096,4096
3,12.92,4096,4096
1,0.187,1024,64
1,0.189,1024,64
2,38.167,24576,64
2,38.155,24576,64
1,0.187,1024,64
3,2.558,2048,2048
3,2.574,2048,2048
1,0.667,1024,64
1,0.648,1024,64
3,4.072,2048,2048
3,4.023,2048,2048
3,5.278,2048,2048
3,14.335,4096,4096
3,13.859,4096,4096
3,5.023,2048,2048
3,5.054,2048,2048
1,0.43,1024,64
1,0.39,1024,64
1,1.667,2048,64
1,1.653,2048,64
3,3.973,2048,2048
3,3.957,2048,2048
1,0.649,1024,64
1,0.649,1024,64
1,0.033,1024,64
1,0.033,1024,64
2,37.789,24576,64
2,37.789,24576,64
1,0.909,2048,64
1,0.909,2048,64
3,6.918,2048,2048
3,6.918,2048,2048
5,19.645,4096,4096
5,19.626,4096,4096
5,25.671,8192,8192
5,25.705,8192,8192
3,4.918,2048,2048
3,4.918,2048,2048
5,24.864,8192,8192
5,24.845,8192,8192
3,7.834,2048,2048
3,7.834,2048,2048
2,59.217,24576,64
2,59.217,24576,64
5,25.204,8192,8192
5,25.19,8192,8192
3,8.302,4096,4096
3,7.922,4096,4096
2,32.202,24576,64
2,32.202,24576,64
2,71.998,24576,64
2,71.982,24576,64
2,62.132,24576,64
2,62.132,24576,64
2,71.436,24576,64
2,71.436,24576,64
2,33.636,24576,64
2,33.636,24576,64
5,18.576,4096,4096
5,18.593,4096,4096
3,12.956,4096,4096
3,12.956,4096,4096
2,78.987,24576,64
2,78.987,24576,64
2,58.08,24576,64
2,58.097,24576,64
2,151.181,24576,64
2,151.2,24576,64
2,30.94,24576,64
2,30.94,24576,64
5,16.986,4096,4096
5,16.97,4096,4096
2,36.293,24576,64
2,36.277,24576,64
2,77.926,24576,64
2,77.926,24576,64
3,3.913,2048,2048
3,3.913,2048,2048
2,54.526,24576,64
2,54.526,24576,64
2,99.158,24576,64
2,99.158,24576,64
5,29.027,8192,8192
5,29.011,8192,8192
3,7.108,2048,2048
3,7.108,2048,2048
2,52.898,24576,64
2,52.881,24576,64
2,54.084,24576,64
2,54.084,24576,64
2,74.288,24576,64
2,74.301,24576,64
2,196.639,24576,64
2,196.639,24576,64
3,5.578,2048,2048
2,63.153,24576,64
2,63.172,24576,64
5,17.435,4096,4096
5,17.435,4096,4096
3,6.515,2048,2048
3,6.515,2048,2048
2,43.419,24576,64
2,43.404,24576,64
1,0.649,1024,64
1,0.649,1024,64
1,0.922,2048,64
1,0.906,2048,64
1,1.206,2048,64
1,1.206,2048,64
1,1.821,2048,64
1,1.805,2048,64
5,19.633,4096,4096
5,19.65,4096,4096
5,22.856,8192,8192
5,22.856,8192,8192
2,34.692,24576,64
2,34.692,24576,64
3,3.412,2048,2048
3,3.398,2048,2048
2,34.236,24576,64
2,34.236,24576,64
5,16.958,4096,4096
5,16.801,4096,4096
3,8.29,4096,4096
3,8.272,4096,4096
3,4.328,2048,2048
3,4.328,2048,2048
3,14.046,4096,4096
3,14.065,4096,4096
2,57.791,24576,64
2,57.791,24576,64
3,9.173,4096,4096
3,9.173,4096,4096
2,48.436,24576,64
2,48.422,24576,64
3,10.327,4096,4096
3,10.314,4096,4096
5,16.396,4096,4096
5,16.396,4096,4096
2,76.534,24576,64
2,76.5,24576,64
2,36.64,24576,64
2,36.843,24576,64
2,36.591,24576,64
2,36.403,24576,64
3,11.7,4096,4096
3,11.591,4096,4096
1,0.97,2048,64
1,0.97,2048,64
3,14.941,4096,4096
5,22.775,8192,8192
5,22.788,8192,8192
3,14.923,4096,4096
5,21.081,8192,8192
5,21.081,8192,8192
3,3.674,2048,2048
3,3.646,2048,2048
5,22.449,8192,8192
5,22.449,8192,8192
2,113.378,24576,64
2,113.363,24576,64
5,22.878,8192,8192
5,22.864,8192,8192
2,32.059,24576,64
2,32.043,24576,64
3,2.335,2048,2048
3,2.274,2048,2048
1,0.998,2048,64
1,0.998,2048,64
3,3.634,2048,2048
3,3.587,2048,2048
1,0.017,1024,64
2,46.106,24576,64
2,46.09,24576,64
3,5.659,2048,2048
3,5.675,2048,2048
2,60.564,24576,64
2,60.753,24576,64
2,112.52,24576,64
2,112.52,24576,64
1,0.831,1024,64
1,0.831,1024,64
1,1.093,2048,64
1,1.093,2048,64
2,90.797,24576,64
2,90.797,24576,64
2,54.474,24576,64
2,54.536,24576,64
2,138.526,24576,64
2,138.511,24576,64
2,45.934,24576,64
2,45.919,24576,64
2,43.709,24576,64
2,43.693,24576,64
5,16.798,4096,4096
5,16.814,4096,4096
5,25.574,8192,8192
5,25.574,8192,8192
2,122.966,24576,64
2,122.949,24576,64
2,58.815,24576,64
2,58.799,24576,64
2,151.001,24576,64
2,151.001,24576,64
2,154.587,24576,64
2,154.574,24576,64
2,58.427,24576,64
2,58.427,24576,64
2,53.105,24576,64
2,53.105,24576,64
2,42.567,24576,64
2,42.567,24576,64
1,0.688,1024,64
1,0.688,1024,64
2,62.698,24576,64
2,62.698,24576,64
2,87.815,24576,64
2,87.815,24576,64
2,150.946,24576,64
2,150.946,24576,64
3,14.859,4096,4096
3,14.844,4096,4096
2,51.664,24576,64
2,51.664,24576,64
2,131.931,24576,64
2,131.946,24576,64
2,112.968,24576,64
2,112.953,24576,64
2,86.891,24576,64
2,86.909,24576,64
2,50.387,24576,64
2,50.387,24576,64
2,129.157,24576,64
2,129.185,24576,64
5,27.889,8192,8192
5,27.922,8192,8192
2,79.413,24576,64
2,79.368,24576,64
2,54.656,24576,64
2,54.64,24576,64
2,143.031,24576,64
2,143.0,24576,64
2,130.787,24576,64
2,130.787,24576,64
2,175.363,24576,64
2,175.363,24576,64
2,95.537,24576,64
2,95.552,24576,64
2,32.642,24576,64
2,32.642,24576,64
2,49.288,24576,64
2,49.272,24576,64
2,81.602,24576,64
2,81.556,24576,64
3,5.67,2048,2048
2,60.765,24576,64
2,60.781,24576,64
2,129.954,24576,64
2,129.938,24576,64
2,98.432,24576,64
2,98.404,24576,64
2,159.879,24576,64
2,159.863,24576,64
2,157.152,24576,64
2,157.152,24576,64
2,264.406,24576,64
2,264.42,24576,64
2,63.91,24576,64
2,63.881,24576,64
2,142.853,24576,64
2,142.838,24576,64
3,9.978,4096,4096
3,9.978,4096,4096
2,51.767,24576,64
2,51.767,24576,64
2,64.843,24576,64
2,64.825,24576,64
2,236.108,24576,64
2,236.108,24576,64
2,281.596,24576,64
2,281.58,24576,64
2,204.161,24576,64
2,204.161,24576,64
5,25.171,8192,8192
5,25.184,8192,8192
2,156.317,24576,64
2,156.317,24576,64
2,45.242,24576,64
2,45.242,24576,64
2,101.997,24576,64
2,101.983,24576,64
2,45.019,24576,64
2,45.019,24576,64
2,108.914,24576,64
2,108.914,24576,64
2,127.43,24576,64
2,127.43,24576,64
2,92.586,24576,64
2,92.586,24576,64
2,160.029,24576,64
2,34.479,24576,64
2,34.479,24576,64
2,159.999,24576,64
2,89.67,24576,64
2,89.687,24576,64
2,56.48,24576,64
2,56.466,24576,64
2,62.675,24576,64
2,62.675,24576,64
2,205.957,24576,64
2,205.957,24576,64
2,99.679,24576,64
2,99.679,24576,64
2,62.185,24576,64
